"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count","school"
"1208223939568263168",2019-12-21 03:13:29,"StonewallJaxin","@amariclark_2 @KarenKeyLargo #GigEm <U+0001F44D>",0,0,NA,1180,"tamu"
"1207367456341274627",2019-12-18 18:30:08,"StonewallJaxin","@TexAgs @fadil_diggs Big 
#GigEm <U+0001F44D>",0,0,NA,1180,"tamu"
"1207424580773646336",2019-12-18 22:17:07,"StonewallJaxin","@Perroni247 Kid is lethal <U+0001F602>
#GigEm <U+0001F44D>",5,0,NA,1180,"tamu"
"1207551966949314560",2019-12-19 06:43:18,"StonewallJaxin","This aged well.
#GigEm <U+0001F44D> https://t.co/wVYy92R9g0",0,0,NA,1180,"tamu"
"1207405855357968384",2019-12-18 21:02:43,"StonewallJaxin","@Antonio_johns0n @Neanderthal06 #GigEm <U+0001F44D>",1,0,NA,1180,"tamu"
"1208213474591068161",2019-12-21 02:31:54,"JeffBickerstaff","28 Years Ago Today...#GigEm https://t.co/K5mdgE9OJX",1,0,NA,928,"tamu"
"1207755003252879361",2019-12-19 20:10:06,"RoadTripSports","The 2019 #CollegeFootballAmerica Yearbook nearly 50% off at #Amazon right now! <U+0001F3C8><U+0001F381><U+0001F384><U+27A1><U+FE0F> Get it: https://t.co/9jmHDFyfOn

#GigEm #12thMan #Aggies #Aggieland #christmasgift #christmasgifts #christmas2019 #christmasshopping  #christmaspresents  #holidayshopping #holidays2019 https://t.co/nS4Q9NPmRF",2,2,NA,1817,"tamu"
"1208207976814850048",2019-12-21 02:10:03,"RoadTripSports","#CollegeBowlSchedule for #SECFootball #GigEm #GeauxTigers #HailState #GoGators #WeAreUK #WarEagle #RollTide #GoDawgs #Vols #RoadTripSports #NFF #CFB150 #FootballTillFebruary #BowlMania

<U+27A1><U+FE0F> #CollegeFootballAmerica: https://t.co/9jmHDFyfOn
<U+27A1><U+FE0F> Schedule: https://t.co/g59ortrasF https://t.co/tsmDxnpmAP",0,0,NA,1817,"tamu"
"1208206633886789632",2019-12-21 02:04:43,"Swadey_Life","I’ll take this bet for next year inbred Dan! And bet you I win #GIGEM https://t.co/wtXIUOsE7N",0,0,"Texas, USA",2195,"tamu"
"1207464394315194368",2019-12-19 00:55:19,"Swadey_Life","@landonjackson40 @tamu_edits Just go ahead and come on home and stop playing #GIGEM",3,0,"Fort Worth, TX",2195,"tamu"
"1208199290419630081",2019-12-21 01:35:32,"Devin_Ontiveros","<U+0001F602><U+0001F602><U+0001F602> #gigem https://t.co/1RJfBx83vO",2,0,NA,945,"tamu"
"1207503603692388353",2019-12-19 03:31:08,"KAGS_Justin","WATCH: @NHSRattlers standout @_spoooook officially signed with @AggieFootball this morning. Jefferson is apart of a 2020 Texas A&amp;M Class that is rated #6 by 247 Sports and Rivals. #GigEm https://t.co/QRe1HsFfRX",33,3,NA,1398,"tamu"
"1207482594973114369",2019-12-19 02:07:39,"KAGS_Justin","WATCH: For the 2nd straight year, Texas A&amp;M has signed a top 10 recruiting class during the Early Signing Period. 247 Sports &amp; Rivals has the Aggies class at #6. Hear from HC Jimbo Fisher on getting every major target the program went after. #GigEm https://t.co/Mi41vmawsE",2,1,NA,1398,"tamu"
"1208198869072437254",2019-12-21 01:33:52,"KAGS_Justin","WATCH: Aggie HC Jimbo Fisher is thrilled about the skill position talent in the 2020 signing class. WR @Devin_Price3, WR @DemondDemas1, APB @ffvmousvon_ , QB @haynes_king10, and others have home run ability which could help boost the A&amp;M offense in the coming years. #GigEm https://t.co/tZQmnICGow",51,11,NA,1398,"tamu"
"1208187603142545410",2019-12-21 00:49:06,"ChristaMuhammad","""To Charlotte, I love you. To my new Aggie family, I embrace you.""

Omggg...this is really happening! (I am such a MUSH!!!...bare with me.)
<U+0001F62D><U+0001F62D><U+0001F62D><U+2665><U+FE0F><U+2665><U+FE0F><U+2665><U+FE0F><U+0001F64C><U+0001F3FE>
What a blessing!!! 
I'm loving you guys already!!! <U+0001F4AF>
#grateful 
#GigEm <U+0001F44D><U+0001F3FE>
#AggieNation 
Muhsin ""Moose"" Muhammad III https://t.co/6bc8sqUJae",288,28,NA,471,"tamu"
