"status_id","screen_name","text","favorite_count","retweet_count"
1207514625857724416,"kstatum1982","@lsusteve1973 @BrodyAMiller I think we got burned by some kids, and we hurt ourselves by trying to make more room for them. <U+0001F937><U+200D><U+2642><U+FE0F> #GeauxTigers #BayouBReed20",1,0
1207691355889098752,"E11Josh","@kwilliams5_ Congratulations #GeauxTigers https://t.co/G7I5fXp74r",2,0
1207690462733189120,"NOLA_2013","That shit was <U+0001F525><U+0001F525> #GeauxTigers https://t.co/YTWTae2ARn",0,0
1207689910536327168,"gracekerr12","1st pic makes my heart smile. #GeauxTigers https://t.co/4H8ppPm3XJ",1,0
1207686444887814144,"Chicharon_62","Congrats to @JamesCreggLSU for leading the best O-Line in the nation. #GeauxTigers",0,0
1207684742440783872,"ReginellisNOLA","Want a piece of me? <U+0001F609>
.
.
.
.
#neworleans #batonrouge #mandeville #louisiana #nolafood #nolafoodie #brfood #brfoodie #geauxtigers #whodat #thatLAcommunity https://t.co/NSgyRUZL3k",1,0
1207684177945956352,"BrandonTHarden","Joe Moore award for the Best O-Line in the country. Congrats grant08__ #lsu #geauxtigers https://t.co/CNORyTqcrW",0,0
1207682117435564032,"BrickKannon","#GeauxTigers #LSU https://t.co/0WxSBZrcVe",1,1
1207650316801519616,"PGar58","@lambas70 Coach O is awesome.  I love this guy.  He is the coolest.  I<U+0092>m all #GeauxTigers from here on out.  

Also Joe Burrow looks like Macaulay Culkin if Mac was cool and had it together.  <U+0001F60E>",0,0
1207681859859169280,"PGar58","Yes, it IS possible to have a man crush on a head coach.  I have one on Ed Orgeron and I don<U+0092>t care who knows it.  #GeauxTigers @_CarolinaCT @lambas70 @urth2leesha",0,0
1207681412498804736,"dodgerjazzcougs","@4hill2018 Davis-Price is a pretty good running back.  Oklahoma will have 3 guys out for the bowl game and LSU still have Burrow, Chase, and Jefferson so they should be just fine.  Yes is it in Baton Rouge.  #GeauxTigers",0,0
1207679645119856640,"R512Eric","I remember last year all the hateful things said about this group. Liability, inconsistency, not good enough, not athletic. How the times have changed!!! Congratulations guys!! #GeauxTigers <U+0001F49B><U+0001F42F><U+0001F49C> https://t.co/yGOjqEc3Rq",3,0
1207679132567506944,"LSUFloresMBA","Check out this great piece we shot with Blake! You can also read more about his story in the link below. #LSUFloresMBA #LSUFootball #GeauxTigers https://t.co/1HrqTNZTn1",44,6
1207677093255032832,"KadeDaigg","I'm really about to be in Atlanta for the game next Saturday. Holy shit let's go! #GeauxTigers",0,1
1207676330961182720,"DASH_Sportz","State of Louisiana Top 5 Signed with:

1. #GeauxTigers 
2. #GeauxTigers 
3. #UGA (unsigned)
4. #GeauxTigers 
5. #UGA",0,0
1207644235991846912,"DASH_Sportz","State of Florida Top 5 Signed with:
1. #GeauxTigers 
2. #ALLIN 
3. #ALLIN
4. #ALLIN
5. #GoGators",0,0
1207676744536412160,"DASH_Sportz","State of Maryland Top 5 Signed with: 

1. #ALLIN 
2. #RollTide
3. #Gamecocks
4. #WeAre
5. #GeauxTigers",0,0
