"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1207887812768522242",2019-12-20 04:57:50,"NinosCorner","HornsCorner: Way Too Early 2020 Texas Defense Depth Chart https://t.co/ZsJF4Nh8LU #HookEm #ThisIsTexas #HornsCorner #BattleStats #TexasFootball",2,1,NA,893
"1208213628685561856",2019-12-21 02:32:31,"GPowersScout","Texas commit Billy Bowman Jr with an INT. #HookEm @Billy2Bowman https://t.co/VGsOcqnJns",46,9,NA,2854
"1208213295997562880",2019-12-21 02:31:11,"justinwells2424","Billy Bowman INT NO. 2. #HookEm",86,2,NA,899
"1208199802091188225",2019-12-21 01:37:34,"justinwells2424",". @Jatavionsanders is LE-GIT. #HookEm",57,6,NA,899
"1208207404321705985",2019-12-21 02:07:47,"justinwells2424","‘21 Denton Ryan ATH, #HookEm commit @Billy2Bowman with the INT. Then, craziness. #UILState https://t.co/Ddu0dqVXff",104,10,NA,899
"1208184207996047361",2019-12-21 00:35:36,"justinwells2424","‘20 Shadow Creek elite safety, #HookEm signee Xavion Alford @100YARDLANDLORD here for the state title. #cloUT2020 #UILState https://t.co/KL1aK90MTW",111,5,NA,899
"1208129832632094721",2019-12-20 20:59:32,"justinwells2424","‘20 Carthage ATH, #HookEm target @kelvontay3 is hearing from UT, Florida, and UTSA the most. He has a Texas OV in January. #UILState #bEASTtexas https://t.co/MkMhyr2g0J",135,16,NA,899
"1208156626307440641",2019-12-20 22:46:00,"justinwells2424","Fridays in the Humidor - 12/20/19

*Latest OC search info, names 
*team intel, practice report 
*State of Recruiting w/ UT’s board for #NSD2 

@EricNahlin and myself with more: https://t.co/WbaSlrUfVq (Members) #HookEm #cloUT2020 https://t.co/GMc1LHr9w6",12,5,NA,899
"1208125417279934464",2019-12-20 20:42:00,"justinwells2424","‘21 Pleasant Grove OLB, #HookEm target @landonjackson40 during pre-game. (@FOXSportsSW) #bEASTtexas https://t.co/j5b964Gyre",369,34,NA,899
"1208211874434764802",2019-12-21 02:25:33,"aasdanny","Sophie Taylor got a pretty cool Christmas present on Friday.

https://t.co/4E34LwOWfg #HookEm",6,1,NA,100
"1208209412055281665",2019-12-21 02:15:45,"samaustin1_","dawg status #UILState #hookem @keaontay_ingram https://t.co/MnL5kSP8XL",1,1,NA,350
"1207764279530799104",2019-12-19 20:46:58,"MikeRoach247","(FREE) Recruits to watch at this week's #UILState championship games.  #HookEm https://t.co/lT8YQAghQ3 https://t.co/BFzYNCnBL1",26,7,NA,1115
"1208207687919570945",2019-12-21 02:08:54,"MikeRoach247","John Curtis ATH Corey Wren discusses his Texas offer. #HookEm https://t.co/gPaFMJklb6 https://t.co/fYkAMymL0c",39,6,NA,1115
"1208060406121533447",2019-12-20 16:23:40,"MikeRoach247","Texas assistant Tim Beck the favorite to win @247Sports Big 12   recruiter of the year. #HookEm https://t.co/R64ahgpOqI https://t.co/UieCyGWNTA",149,17,NA,1115
